,,"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)"
"Country","Year","Both sexes"
"Afghanistan","2016","245"
"Albania","2016","96"
"Algeria","2016","95"
"Angola","2016","238"
"Antigua and Barbuda","2016","120"
"Argentina","2016","111"
"Armenia","2016","116"
"Australia","2016","61"
"Austria","2016","62"
"Azerbaijan","2016","118"
"Bahamas","2016","159"
"Bahrain","2016","57"
"Bangladesh","2016","130"
"Barbados","2016","100"
"Belarus","2016","161"
"Belgium","2016","72"
"Belize","2016","179"
"Benin","2016","242"
"Bhutan","2016","207"
"Bolivia (Plurinational State of)","2016","182"
"Bosnia and Herzegovina","2016","92"
"Botswana","2016","249"
"Brazil","2016","143"
"Brunei Darussalam","2016","98"
"Bulgaria","2016","135"
"Burkina Faso","2016","255"
"Burundi","2016","290"
"Cabo Verde","2016","122"
"Cambodia","2016","170"
"Cameroon","2016","341"
"Canada","2016","63"
"Central African Republic","2016","412"
"Chad","2016","360"
"Chile","2016","87"
"China","2016","80"
"Colombia","2016","137"
"Comoros","2016","225"
"Congo","2016","261"
"Costa Rica","2016","97"
"Côte d'Ivoire","2016","398"
"Croatia","2016","88"
"Cuba","2016","92"
"Cyprus","2016","55"
"Czechia","2016","81"
"Democratic People's Republic of Korea","2016","132"
"Democratic Republic of the Congo","2016","256"
"Denmark","2016","65"
"Djibouti","2016","245"
"Dominican Republic","2016","160"
"Ecuador","2016","114"
"Egypt","2016","165"
"El Salvador","2016","177"
"Equatorial Guinea","2016","305"
"Eritrea","2016","252"
"Estonia","2016","119"
"Eswatini","2016","393"
"Ethiopia","2016","219"
"Fiji","2016","186"
"Finland","2016","70"
"France","2016","71"
"Gabon","2016","221"
"Gambia","2016","262"
"Georgia","2016","160"
"Germany","2016","69"
"Ghana","2016","241"
"Greece","2016","66"
"Grenada","2016","140"
"Guatemala","2016","162"
"Guinea","2016","262"
"Guinea-Bissau","2016","269"
"Guyana","2016","264"
"Haiti","2016","243"
"Honduras","2016","145"
"Hungary","2016","126"
"Iceland","2016","55"
"India","2016","178"
"Indonesia","2016","176"
"Iran (Islamic Republic of)","2016","80"
"Iraq","2016","174"
"Ireland","2016","62"
"Israel","2016","58"
"Italy","2016","54"
"Jamaica","2016","131"
"Japan","2016","51"
"Jordan","2016","111"
"Kazakhstan","2016","181"
"Kenya","2016","219"
"Kiribati","2016","197"
"Kuwait","2016","79"
"Kyrgyzstan","2016","162"
"Lao People's Democratic Republic","2016","193"
"Latvia","2016","154"
"Lebanon","2016","96"
"Lesotho","2016","483"
"Liberia","2016","230"
"Libya","2016","150"
"Lithuania","2016","155"
"Luxembourg","2016","56"
"Madagascar","2016","216"
"Malawi","2016","255"
"Malaysia","2016","123"
"Maldives","2016","53"
"Mali","2016","270"
"Malta","2016","55"
"Mauritania","2016","202"
"Mauritius","2016","145"
"Mexico","2016","127"
"Micronesia (Federated States of)","2016","164"
"Mongolia","2016","211"
"Montenegro","2016","99"
"Morocco","2016","69"
"Mozambique","2016","336"
"Myanmar","2016","195"
"Namibia","2016","296"
"Nepal","2016","151"
"Netherlands","2016","59"
"New Zealand","2016","66"
"Nicaragua","2016","146"
"Niger","2016","250"
"Nigeria","2016","352"
"Norway","2016","55"
"Oman","2016","96"
"Pakistan","2016","159"
"Panama","2016","111"
"Papua New Guinea","2016","224"
"Paraguay","2016","146"
"Peru","2016","124"
"Philippines","2016","194"
"Poland","2016","111"
"Portugal","2016","76"
"Qatar","2016","62"
"Republic of Korea","2016","61"
"Republic of Moldova","2016","167"
"North Macedonia","2016","96"
"Romania","2016","135"
"Russian Federation","2016","203"
"Rwanda","2016","198"
"Saint Lucia","2016","147"
"Saint Vincent and the Grenadines","2016","169"
"Samoa","2016","110"
"Sao Tome and Principe","2016","191"
"Saudi Arabia","2016","89"
"Senegal","2016","185"
"Serbia","2016","103"
"Seychelles","2016","163"
"Sierra Leone","2016","389"
"Singapore","2016","51"
"Slovakia","2016","104"
"Slovenia","2016","72"
"Solomon Islands","2016","146"
"Somalia","2016","316"
"South Africa","2016","301"
"South Sudan","2016","321"
"Spain","2016","56"
"Sri Lanka","2016","131"
"Sudan","2016","224"
"Suriname","2016","180"
"Sweden","2016","52"
"Switzerland","2016","49"
"Syrian Arab Republic","2016","301"
"Tajikistan","2016","123"
"Thailand","2016","147"
"Timor-Leste","2016","150"
"Togo","2016","265"
"Tonga","2016","133"
"Trinidad and Tobago","2016","172"
"Tunisia","2016","91"
"Turkey","2016","104"
"Turkmenistan","2016","191"
"Uganda","2016","288"
"Ukraine","2016","180"
"United Arab Emirates","2016","74"
"United Kingdom of Great Britain and Northern Ireland","2016","67"
"United Republic of Tanzania","2016","261"
"United States of America","2016","114"
"Uruguay","2016","114"
"Uzbekistan","2016","131"
"Vanuatu","2016","129"
"Venezuela (Bolivarian Republic of)","2016","157"
"Viet Nam","2016","125"
"Yemen","2016","221"
"Zambia","2016","286"
"Zimbabwe","2016","334"
