Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,145216414,1860.2438502158914,5679136,72.75057638139779,849130,3079390,39.447443660992164,86548,1.1086927456319453,13120,
United States of America,Americas,31593420,9544.76,416482,125.82,63206,564941,170.68,4994,1.51,850,Community transmission
India,South-East Asia,16610481,1203.65,2083872,151,346786,189544,13.74,13895,1.01,2624,Clusters of cases
Brazil,Americas,14167973,6665.42,421292,198.2,45178,383502,180.42,18058,8.5,2027,Community transmission
France,Europe,5357687,8237.61,213392,328.1,32192,101844,156.59,2100,3.23,331,Community transmission
Russian Federation,Europe,4753789,3257.48,60320,41.33,8828,107900,73.94,2707,1.85,399,Clusters of cases
Turkey,Europe,4550820,5395.86,400781,475.2,49438,37672,44.67,2352,2.79,343,Community transmission
The United Kingdom,Europe,4401113,6483.09,17377,25.6,2678,127385,187.65,160,0.24,40,Community transmission
Italy,Europe,3935703,6598.93,93624,156.98,14758,118699,199.02,2333,3.91,342,Clusters of cases
Spain,Europe,3456886,7303.39,42154,89.06,0,77496,163.73,274,0.58,0,Community transmission
Germany,Europe,3268645,3930.23,145568,175.03,23392,81444,97.93,1597,1.92,286,Community transmission
Argentina,Americas,2796768,6188.12,167612,370.86,27216,60620,134.13,1695,3.75,537,Community transmission
Poland,Europe,2751632,7249.12,75758,199.58,9510,65222,171.83,3397,8.95,515,Community transmission
Colombia,Americas,2720619,5346.82,117900,231.71,19306,70026,137.62,2827,5.56,430,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2358809,2808.34,164676,196.06,22904,68746,81.85,2738,3.26,380,Community transmission
Mexico,Americas,2319519,1799.01,24084,18.68,3708,214095,166.05,2882,2.24,498,Community transmission
